Club_Id,Club_Name,Club_Website
3359,"
West Side
",http://www.wssl.org/
3360,"
Armonk SC
",https://www.armonksoccerclub.org/
3361,"
Mt Pleasant
",https://fcmtpleasantunited.teamsnapsites.com/
3362,"
LMFC
", https://www.larchmontmamaroneckfootballclub.com/
3363,"
Rivertowns United
",https://rivertownsunited.com
3364,"
Eastchester
",http://eysoccer.com
3366,"
Riverdale
",http://riverdalesoccerclub.org/
3368,"
Rye Brook
",http://www.ryebrooksoccer.org
3369,"
Harrison
",https://harrisonfc.website.sportssignup.com/  
3370,"
New Rochelle
",http://www.newrochellefc.org/
3373,"
Pelham
",https://www.pelhamtravelsoccer.com/
3374,"
Pleasantville
",https://www.pvillesoccer.com/pysc
3375,"
FC Somers
",fcsomers.com
3376,"
Rye
",http://www.ryeyouthsoccer.org/
3377,"
Mahopac
",http://mahopacsoccer.website.sportssignup.com/
3378,"
Scarsdale
",https://www.scarsdalesoccer.net/
3499,"
Lansdowne Yonkers
",http://www.lansdowneyonkersfc.com/
3500,"
Greenburgh Utd
",https://www.greenburghunited.com/
3501,"
Edgemont
",https://edgemontsc.com
3506,"
Don Bosco Hawks
",http://www.donboscohawks.org/
3507,"
Chappaqua
",http://www.chappaquasoccer.org/
3510,"
Shrub Oak
",http://www.shruboakac.org/  
3511,"
White Plains YS
",https://www.wpys.org/
3512,"
FC Transylvania
",http://www.fctransylvania.org/
3513,"
North Salem
",https://northsalemsoccer.website.sportssignup.com/ 
3514,"
Port Chester SC
",http://www.pcsoccerclub.org/
3515,"
Munay
",http://www.munaysocceracademy.com/  
3517,"
Bedford
",http://www.bedfordyouthsoccerclub.org/
3518,"
Alba
",https://www.albafc.org
3519,"
Deportivo Yonkers
",https://www.leaguelineup.com/welcome.asp?url=dysc
3520,"
Sleepy Hollow
",https://www.sleepyhollowfc.com/
3522,"
Briarcliff
",https://www.briarcliffsoccer.org/
3523,"
East Ramapo
",
3524,"
Gotham Girls
",http://www.gothamgirls.org
3525,"
South Bronx Utd
",http://www.southbronxunited.org/
3526,"
NY Phoenix FC
",nyphoenixfc.com
3527,"
Valhalla
",http://www.valhallasocceracademy.com/site/
3529,"
Yorktown
",http://www.yorktownsoccer.org/
7456,"
Manhattan SC
",https://www.manhattansc.org
7459,"
New York SC
",https://www.newyorksoccerclub.org/about
7503,"
Croton FC
",
7551,"
Cortlandt SC
",
7559,"
Westchester Flames
",
8603,"
Quickstrike FC 
",
9426,"
Tru Tekkers
",
10041,"
John Jay FC
",
12480,"
Hillcrest FC
",
24026,"
Los Gauchos FC
",http://www.gauchos.club/
26195,"
Pitch Gladiators SA
",
26263,"
Young Stars FC
",
